"","OMSCHR","VHAG","NAAM","TYPE","dataset","Sampler","GEBIED","SystemType","WVLC","vrijwillID","provincie","postcode","gemeente","locID","SugbyINBO","isReserved","Latitude","Longitude","updateRes"
"44","Oude Kruibekestraat",3109,"Barbierbeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Oost-Vlaanderen",9150,"Kruibeke","I_9150_2","YES","FALSE",51.1552618316077,4.30043548977325,"FALSE"
"45","oude Heirbaan opw",3109,"Barbierbeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Oost-Vlaanderen",9140,"Temse","I_9140_1","YES","FALSE",51.1390257623709,4.16494953992787,"FALSE"
"46","Muizenhol,zandweg naast electriciteitskab. aan Luiseekstr, 70 m voorbij de Barbierbeek",3390,"Steendonkstraatbeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Oost-Vlaanderen",9140,"Temse","I_9140_2","YES","FALSE",51.165224071789,4.22356455334256,"FALSE"
"47","Cleydaellaan, thv. kasteel Cleydael, opw brug",3108,"Grote Struisbeek","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2630,"Aartselaar","I_2630_1","YES","FALSE",51.1373307680202,4.362912876352,"FALSE"
"48","Sint-Jan-In-Eremo,Sint-Janspolderdijk,opw weg",2949,"Roeselarekreek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Oost-Vlaanderen",9982,"Sint-Laureins","I_9982_1","YES","FALSE",51.266723722904,3.55650991134693,"FALSE"
"49","Wilsele, Aarschotsestwg, afw weg",6551,"Dijle","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Vlaams-Brabant",3012,"Leuven","I_3012_1","YES","FALSE",50.9023927315929,4.70908953770206,"FALSE"
"50","Sint-Jan-In-Eremo,Brouwersweg, afw Graafjansdijk,afw weg",3008," ","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Oost-Vlaanderen",9982,"Sint-Laureins","I_9982_2","YES","FALSE",51.2486074985737,3.57449954552839,"FALSE"
"51","Kessel-Lo, Dijledreef, opw brug",6551,"Dijle","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Vlaams-Brabant",3010,"Leuven","I_3010_1","YES","FALSE",50.8913323507934,4.71023153702361,"FALSE"
"52","Wilsele, Vuurkruisenln, op bedrijventerrein AB InBev, over Dijle via weg achter fabriek, trap aan LO net afw overwelving, via trapje",6551,"Dijle","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Vlaams-Brabant",3012,"Leuven","I_3012_2","YES","FALSE",50.888923672517,4.71005765358826,"FALSE"
"53","Vaartstraat, afw brug",6551,"Dijle","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Vlaams-Brabant",3000,"Leuven","I_3000_1","YES","FALSE",50.8869137492914,4.70252506096913,"FALSE"
